68;454;-104;
68;464;-146;
85;485;-178;
91;518;-178;
91;547;-148;
79;547;-114;
68;532;-90;
-23;139;-122;
-23;134;-122;
-21;134;-120;
-21;142;-118;
-14;160;-108;
-14;182;-93;
16;205;-85;
16;225;-80;
30;243;-79;
40;254;-79;
42;259;-79;
42;262;-84;
37;262;-92;
30;262;-103;
28;265;-114;
28;275;-123;
28;282;-125;
20;282;-125;
20;278;-122;
-12;268;-120;
-12;259;-118;
-16;254;-116;
-21;249;-114;
-26;242;-110;
-33;236;-103;
-37;236;-96;
-37;236;-94;
-33;240;-94;
-29;250;-94;
-26;260;-108;
-26;279;-116;
-34;310;-121;
-41;347;-128;
-46;379;-147;
-55;414;-147;
-85;457;-102;
-124;491;-101;
-164;510;-99;
-177;510;-99;
-177;507;-58;
-151;488;-57;
-151;487;-58;
-168;487;66;
-168;510;41;
-113;515;66;
-113;516;-87;
139;519;-87;
139;520;-185;
150;537;-251;
150;559;-251;
116;559;-235;
88;527;-197;
88;493;-147;
-35;462;-99;
-35;454;-60;
-35;453;-60;
-38;454;-64;
68;454;-104;
68;464;-146;
85;485;-178;
91;518;-178;
91;547;-148;
79;547;-114;
68;532;-90;
-23;139;-122;
-23;134;-122;
-21;134;-120;
-21;142;-118;
-14;160;-108;
-14;182;-93;
16;205;-85;
16;225;-80;
30;243;-79;
40;254;-79;
42;259;-79;
42;262;-84;
37;262;-92;
30;262;-103;
28;265;-114;
28;275;-123;
28;282;-125;
20;282;-125;
20;278;-122;
-12;268;-120;
-12;259;-118;
-16;254;-116;
-21;249;-114;
-26;242;-110;
-33;236;-103;
-37;236;-96;
-37;236;-94;
-33;240;-94;
-29;250;-94;
-26;260;-108;
-26;279;-116;
-34;310;-121;
-41;347;-128;
-46;379;-147;
-55;414;-147;
-85;457;-102;
-124;491;-101;
-164;510;-99;
-177;510;-99;
-177;507;-58;
-151;488;-57;
-151;487;-58;
-168;487;66;
-168;510;41;
-113;515;66;
-113;516;-87;
139;519;-87;
139;520;-185;
150;537;-251;
150;559;-251;
116;559;-235;
88;527;-197;
88;493;-147;
-35;462;-99;
-35;454;-60;
-35;453;-60;
-38;454;-64;
68;454;-104;
68;464;-146;
85;485;-178;
91;518;-178;
91;547;-148;
79;547;-114;
68;532;-90;
-23;139;-122;
-23;134;-122;
-21;134;-120;
-21;142;-118;
-14;160;-108;
-14;182;-93;
16;205;-85;
16;225;-80;
30;243;-79;
40;254;-79;
42;259;-79;
42;262;-84;
37;262;-92;
30;262;-103;
28;265;-114;
28;275;-123;
28;282;-125;
20;282;-125;
20;278;-122;
-12;268;-120;
-12;259;-118;
-16;254;-116;
-21;249;-114;
-26;242;-110;
-33;236;-103;
-37;236;-96;
-37;236;-94;
-33;240;-94;
-29;250;-94;
-26;260;-108;
-26;279;-116;
-34;310;-121;
-41;347;-128;
-46;379;-147;
-55;414;-147;
-85;457;-102;
-124;491;-101;
-164;510;-99;
-177;510;-99;
-177;507;-58;
-151;488;-57;
-151;487;-58;
-168;487;66;
-168;510;41;
-113;515;66;
-113;516;-87;
139;519;-87;
139;520;-185;
150;537;-251;
150;559;-251;
116;559;-235;
88;527;-197;
88;493;-147;
-35;462;-99;
-35;454;-60;
-35;453;-60;
-38;454;-64;
68;454;-104;
68;464;-146;
85;485;-178;
91;518;-178;
91;547;-148;
79;547;-114;
68;532;-90;
-23;139;-122;
-23;134;-122;
-21;134;-120;
-21;142;-118;
-14;160;-108;
-14;182;-93;
16;205;-85;
16;225;-80;
30;243;-79;
40;254;-79;
42;259;-79;
42;262;-84;
37;262;-92;
30;262;-103;
28;265;-114;
28;275;-123;
28;282;-125;
20;282;-125;
20;278;-122;
-12;268;-120;
-12;259;-118;
-16;254;-116;
-21;249;-114;
-26;242;-110;
-33;236;-103;
-37;236;-96;
-37;236;-94;
-33;240;-94;
-29;250;-94;
-26;260;-108;
-26;279;-116;
-34;310;-121;
-41;347;-128;
-46;379;-147;
-55;414;-147;
-85;457;-102;
-124;491;-101;
-164;510;-99;
-177;510;-99;
-177;507;-58;
-151;488;-57;
-151;487;-58;
-168;487;66;
-168;510;41;
-113;515;66;
-113;516;-87;
139;519;-87;
139;520;-185;
150;537;-251;
150;559;-251;
116;559;-235;
88;527;-197;
88;493;-147;
-35;462;-99;
-35;454;-60;
-35;453;-60;
-38;454;-64;
68;454;-104;
68;464;-146;
85;485;-178;
91;518;-178;
91;547;-148;
79;547;-114;
68;532;-90;
-23;139;-122;
-23;134;-122;
-21;134;-120;
-21;142;-118;
-14;160;-108;
-14;182;-93;
16;205;-85;
16;225;-80;
30;243;-79;
40;254;-79;
42;259;-79;
42;262;-84;
37;262;-92;
30;262;-103;
28;265;-114;
28;275;-123;
28;282;-125;
20;282;-125;
20;278;-122;
-12;268;-120;
-12;259;-118;
-16;254;-116;
-21;249;-114;
-26;242;-110;
-33;236;-103;
-37;236;-96;
-37;236;-94;
-33;240;-94;
-29;250;-94;
-26;260;-108;
-26;279;-116;
-34;310;-121;
-41;347;-128;
-46;379;-147;
-55;414;-147;
-85;457;-102;
-124;491;-101;
-164;510;-99;
-177;510;-99;
-177;507;-58;
-151;488;-57;
-151;487;-58;
-168;487;66;
-168;510;41;
-113;515;66;
-113;516;-87;
139;519;-87;
139;520;-185;
150;537;-251;
150;559;-251;
116;559;-235;
88;527;-197;
88;493;-147;
-35;462;-99;
-35;454;-60;
-35;453;-60;
-38;454;-64;
68;454;-104;
68;464;-146;
85;485;-178;
91;518;-178;
91;547;-148;
79;547;-114;
68;532;-90;
